created_at,full_text
2020-05-22 23:07:36+00:00,"Because Dr Anthony Fauci is the real star.
@FauciFan @NIH @CDCgov 

#COVID19 #CoronaVirus https://t.co/jWuC0Pqtxi"
2020-05-22 19:14:00+00:00,Lol I think Dr Anthony Fauci has been in #Wonderland too long.  #coronavirus https://t.co/vhC7JRitIb
2020-05-23 20:03:10+00:00,RT @WCBD: Have #COVID19 questions? Get answers from Dr. Anthony Fauci RIGHT NOW on #CoronavirusHouseCalls https://t.co/UniU7ToJut
2020-05-23 20:00:02+00:00,Have #COVID19 questions? Get answers from Dr. Anthony Fauci RIGHT NOW on #CoronavirusHouseCalls https://t.co/UniU7ToJut
2020-05-31 01:32:06+00:00,"RT @HarvardMacy: ""The Mentor Who Made Dr. Anthony Fauci""

In this @WSJ article, Dr. Anthony Fauci explains how his mentor changed his life.…"
2020-06-02 19:34:01+00:00,".@NIAIDNews’ Dr. Anthony Fauci unpacks reopening too quickly, #COVID19 #vaccines, &amp; more: https://t.co/qsxJBage4e https://t.co/dHoc4VVQlo"
2020-06-02 13:53:18+00:00,Dr. Anthony Fauci hasn't spoken with Trump in two weeks - #COVID19 #Coronavirus #SocialDistancing #flattenthecurve #trump #Biden #testing #vaccine #mask #pandemic https://t.co/17W7QHcnwI https://t.co/wW5pPLwxKu
2020-06-02 02:25:59+00:00,"RT @Hellacort: Dr. Anthony Fauci hasn't spoken with Trump in two weeks. #COVID19 #OneVoice1 

https://t.co/QaC6Jh94XK"
2020-06-03 14:36:23+00:00,"RT @ENU200curescov1: #wednesdaymorning #WednesdayThoughts #WednesdayVibes Today is Wednesday  

Dr. Anthony Fauci says there’s a chance #co…"
2020-06-03 12:21:19+00:00,Where is Dr. Anthony Fauci? #CoronavirusPandemic #covid19IsStillKillingPeople
