,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,get,616434.3,pandemic,1143030.7,’s,1785872.3,”,776789.1,help,658673.1,cases,1528623.9,covid,959424.5,us,1043578.4,people,1625214.8,today,758254.7
1,workers,543368.6,one,743174.3,health,1036606.8,like,694133.6,need,608393.9,new,1435586.2,state,548159.7,trump,630929.7,’t,641786.4,due,409323.5
2,must,425253.5,patients,560179.2,world,487670.7,would,441119.3,crisis,570748.3,deaths,1076603.5,virus,523831.6,death,535100.2,time,610159.0,see,402141.6
3,care,408623.3,positive,396007.5,day,468401.9,says,425159.4,support,502577.4,total,573942.1,testing,519972.0,uk,410551.3,home,535251.0,know,386179.3
4,also,354445.0,tested,393373.1,public,456335.2,country,413091.0,response,465139.9,may,455175.0,first,429725.9,please,377881.0,government,514580.6,pm,370390.9
5,test,321909.0,india,352518.2,it,421967.4,let,363229.2,fight,429651.4,number,450644.0,states,315727.2,news,319284.0,lockdown,500304.1,social,354846.0
6,spread,312541.0,week,271678.5,keep,303423.8,even,318622.3,china,360567.0,confirmed,296307.1,million,314368.1,via,315388.2,work,479610.0,still,333129.9
7,thank,311191.5,take,243464.4,every,279341.6,president,315940.8,watch,318957.8,reported,277616.1,face,266253.3,great,258770.6,back,458983.8,risk,302773.4
8,make,297612.0,important,211122.6,working,226819.0,dr,310342.6,global,307893.2,case,224790.5,masks,261100.6,read,255263.8,many,446882.2,life,293292.5
9,way,294835.8,last,201341.1,safe,208625.6,said,303896.2,medical,303762.9,today,205787.0,vaccine,248888.0,much,241458.8,go,362416.7,year,259560.5
