,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,death,200.1,patients,196.6,like,148.6,get,191.2,deaths,151.9,’s,195.8,”,249.0,i,116.2,country,164.5,let,154.8
1,covid,192.4,health,100.9,people,83.9,i,189.2,people,122.5,it,78.1,workers,94.7,public,100.6,one,99.3,without,150.8
2,still,96.5,going,98.0,back,83.1,time,182.0,tested,103.9,state,33.8,fight,22.0,may,99.6,workers,83.0,like,147.3
3,even,96.5,testing,94.7,death,79.2,test,167.3,never,96.6,trump,33.6,trump,19.7,good,98.8,due,72.2,mask,14.4
4,video,95.8,made,89.4,total,77.8,via,163.5,death,96.1,one,22.6,’t,16.7,also,93.3,information,68.8,’t,7.6
5,time,95.2,like,83.8,life,77.4,back,24.5,virus,95.6,number,22.3,don,13.6,continue,10.6,find,68.6,says,6.0
6,make,95.1,”,64.4,case,74.2,social,15.7,covid,86.7,first,22.2,distancing,13.5,end,10.5,covid,67.4,good,2.9
7,please,95.0,risk,8.1,’s,62.2,end,12.8,”,35.5,want,21.9,social,13.4,social,10.4,see,11.8,would,2.3
8,it,95.0,world,6.3,uk,3.8,continue,12.4,cases,25.4,’t,20.1,next,13.2,back,9.5,pandemic,10.5,come,2.3
9,think,94.0,thanks,6.2,care,3.7,still,11.6,number,23.6,good,19.8,face,12.5,still,9.2,world,9.9,virus,1.9
